SID,grade,clock,cohort,LD33,SS
8201749,8,2,7,Never,233
7495587,7,1,7,Never,244
4019636,6,0,5,Never,228
4900561,6,0,5,Never,222
8193789,6,0,7,Never,218
8009953,7,1,7,Never,233
7820607,6,0,7,Never,222
8156131,7,1,7,Never,244
9141294,7,1,5,Never,231
1122053,8,2,5,Never,242
6737730,7,1,6,Never,241
7832028,7,1,7,Never,245
7099568,6,0,6,Never,236
3219623,6,0,5,Never,232
6836194,6,0,6,Never,229
6126081,6,0,5,Never,242
2282860,6,0,5,Never,211
936286,6,0,5,Never,232
8200378,8,2,5,Never,233
8143102,8,2,6,Never,237
13679236,8,2,7,Never,242
8288615,7,1,7,Never,234
7440847,6,0,6,Never,223
891339,6,0,5,Always,213
10174214,8,2,7,Never,232
8308306,6,0,7,Never,245
4426355,6,0,5,Never,239
8214859,8,2,6,Always,228
7979614,6,0,7,Never,241
6664261,7,1,6,Never,260
7070934,7,1,6,Never,232
7889917,6,0,7,Never,228
8234051,6,0,7,Never,224
2772965,7,1,5,Never,229
12508225,8,2,6,Never,221
9244662,8,2,6,Never,242
8498970,6,0,6,Never,225
6656536,7,1,6,Never,238
7094388,8,2,6,Never,228
7872860,7,1,7,Never,233
6821790,8,2,6,Never,238
5629942,6,0,7,Never,228
5172004,7,1,5,Never,232
7355920,8,2,6,Never,224
7218745,8,2,7,Never,239
6562639,6,0,6,Never,227
10960791,6,0,7,Always,202
6886493,6,0,6,Never,221
6735207,6,0,7,Never,232
3834344,6,0,5,Never,220
7065981,7,1,6,Sometimes,223
8105480,6,0,6,Sometimes,205
10753745,6,0,6,Never,237
8111707,7,1,7,Never,235
7210337,8,2,5,Never,230
6873863,7,1,7,Never,241
7759924,7,1,7,Never,229
7170602,8,2,6,Never,250
8105480,8,2,7,Never,237
7069367,6,0,6,Always,230
1584472,8,2,5,Never,249
7994753,8,2,7,Never,238
6532187,7,1,6,Never,238
8482799,8,2,7,Never,236
8206864,8,2,7,Always,223
6961347,7,1,6,Always,221
10667636,6,0,7,Never,199
8604304,6,0,7,Never,211
10132716,6,0,6,Never,240
6551378,6,0,6,Never,228
9336168,7,1,7,Never,229
2438380,6,0,5,Never,227
5465478,6,0,5,Never,217
6691676,8,2,6,Never,240
8423075,7,1,5,Never,240
5661366,7,1,5,Never,226
7893507,7,1,7,Never,250
13006444,6,0,6,Never,234
7786948,6,0,7,Never,223
8105987,8,2,7,Never,234
7852215,8,2,7,Never,260
8091102,6,0,6,Never,233
6532187,6,0,6,Never,223
7772548,6,0,7,Never,223
6881556,8,2,5,Never,231
6623255,7,1,6,Never,240
8021309,7,1,7,Never,242
8086184,6,0,7,Never,228
7099843,7,1,6,Never,227
6570151,7,1,6,Never,247
6964427,7,1,6,Never,242
9062521,8,2,7,Never,241
11306122,8,2,5,Never,224
6976212,7,1,6,Never,234
2630788,6,0,5,Never,228
6215351,8,2,5,Never,250
6997724,7,1,6,Never,238
1834924,6,0,5,Never,226
6807712,7,1,6,Never,236
6559565,8,2,6,Never,241
6917585,8,2,6,Never,228
4618920,6,0,5,Sometimes,216
8138036,7,1,7,Never,231
7365608,7,1,6,Never,232
7971699,6,0,7,Never,232
7946511,8,2,7,Never,244
3648443,7,1,5,Never,219
10393188,8,2,6,Never,233
5107679,8,2,5,Never,241
7984197,7,1,7,Always,234
8706271,8,2,5,Never,240
3380114,8,2,5,Never,245
3141179,6,0,6,Never,228
3918319,8,2,5,Never,242
6868169,6,0,6,Never,238
6622240,8,2,5,Always,228
11649984,8,2,6,Never,241
6458718,7,1,5,Never,233
10013342,6,0,5,Never,218
6963080,7,1,6,Never,234
6877486,8,2,6,Never,256
7719108,7,1,7,Never,239
1951718,7,1,6,Never,227
7697120,6,0,7,Never,225
8005125,8,2,7,Never,238
10449566,7,1,6,Never,227
7949448,6,0,5,Never,239
6573010,6,0,6,Never,217
2942313,6,0,5,Never,224
6539246,7,1,6,Never,223
6922724,7,1,6,Never,244
5516226,8,2,5,Always,231
3660494,7,1,5,Never,225
11807652,6,0,5,Never,226
5926351,6,0,5,Never,234
6693504,7,1,5,Never,228
2539535,8,2,5,Never,238
6965431,7,1,5,Never,253
8079692,8,2,7,Never,236
11398086,6,0,5,Never,226
614904,8,2,5,Never,228
3929094,6,0,5,Never,227
7971850,7,1,7,Never,230
7093861,6,0,6,Never,242
7870396,6,0,7,Sometimes,210
8665311,7,1,7,Never,257
8052824,6,0,7,Sometimes,217
3234584,6,0,5,Never,211
6732186,8,2,5,Never,256
8221162,7,1,7,Never,232
8179859,6,0,7,Never,224
7948360,7,1,7,Always,223
8003912,7,1,7,Never,234
6877125,8,2,6,Never,242
2903180,8,2,5,Never,252
7741448,8,2,7,Never,235
8154635,7,1,7,Never,252
6866042,8,2,6,Never,223
10396438,8,2,7,Sometimes,231
12112941,8,2,7,Never,233
5654238,8,2,5,Never,223
7971729,6,0,7,Never,215
5954487,7,1,5,Never,238
7433832,7,1,6,Never,233
2863081,8,2,5,Never,247
5479924,8,2,5,Never,245
6552080,7,1,6,Never,249
7776721,8,2,6,Never,242
2737124,6,0,6,Never,220
7881681,7,1,6,Never,227
615811,8,2,5,Always,233
9316582,7,1,5,Never,225
6734189,7,1,5,Never,239
4713575,8,2,5,Never,237
12079324,8,2,6,Never,235
7022980,7,1,6,Never,234
6962483,7,1,6,Never,221
7708386,7,1,7,Sometimes,221
7714106,8,2,7,Never,244
7757190,6,0,7,Never,228
5655358,7,1,5,Never,227
6513077,7,1,6,Never,238
2712733,6,0,6,Always,224
6914748,6,0,6,Never,239
7907699,6,0,7,Never,224
9640053,7,1,5,Never,244
7170793,8,2,6,Never,236
7248415,6,0,5,Never,224
6439853,6,0,5,Never,241
6732941,6,0,6,Always,210
7113765,6,0,6,Never,229
6331246,8,2,5,Never,238
6844383,7,1,6,Never,233
13205889,7,1,7,Never,232
7357117,8,2,6,Never,229
673404,6,0,6,Sometimes,225
6733808,6,0,7,Never,223
7982526,8,2,7,Never,246
8042195,8,2,7,Never,238
5356539,8,2,5,Never,238
8139016,6,0,7,Sometimes,207
8041431,7,1,7,Never,229
7847513,8,2,7,Never,237
2835525,7,1,5,Never,236
6837476,7,1,6,Never,221
10307915,6,0,5,Never,220
7723210,7,1,7,Never,248
5660491,7,1,5,Never,231
3441970,6,0,5,Never,222
7841728,7,1,7,Never,232
6808247,6,0,6,Never,222
5954487,7,1,5,Always,224
8797455,8,2,7,Never,259
9775080,8,2,6,Never,239
7793073,8,2,7,Always,236
8450447,8,2,7,Never,229
6531679,7,1,6,Never,251
3145417,6,0,5,Never,221
11588780,6,0,6,Never,220
2365243,6,0,5,Never,236
7643306,6,0,7,Never,226
1151894,6,0,5,Never,231
3635996,7,1,5,Never,232
2331314,8,2,5,Never,237
8082596,8,2,7,Never,242
7005741,7,1,6,Never,238
7704267,6,0,7,Never,254
946427,8,2,5,Never,250
6479189,8,2,5,Never,230
6761070,7,1,6,Never,231
4068041,6,0,5,Never,224
7736924,8,2,7,Never,229
3219623,6,0,5,Never,241
3380114,7,1,5,Never,227
8090416,6,0,7,Never,216
4440129,8,2,5,Never,238
4091248,7,1,5,Never,232
7796048,8,2,7,Never,245
6834876,6,0,5,Never,253
4631897,8,2,5,Never,236
8848386,7,1,6,Never,228
7171145,6,0,6,Never,230
7844301,7,1,7,Never,232
9039805,6,0,7,Never,237
1122053,7,1,5,Never,234
5290562,8,2,5,Never,232
6928528,6,0,6,Never,216
7034946,7,1,6,Never,230
4510887,7,1,5,Never,240
6570127,8,2,6,Never,237
12554464,6,0,6,Never,216
4819721,6,0,5,Never,222
11407093,6,0,5,Never,242
8493642,7,1,6,Never,230
11209151,7,1,6,Never,221
6193323,8,2,5,Never,245
11339063,7,1,7,Never,234
4003519,6,0,5,Never,239
6544681,8,2,6,Never,274
7638795,7,1,7,Never,227
11377178,6,0,7,Always,217
7785690,6,0,7,Never,223
7636083,6,0,7,Never,220
7100434,8,2,5,Always,222
7765584,8,2,7,Never,243
6632564,7,1,7,Never,235
13388010,7,1,7,Never,232
8066663,6,0,7,Never,215
6542506,7,1,5,Never,226
8135088,8,2,7,Never,241
580449,6,0,5,Never,217
7747500,8,2,7,Never,246
13839217,7,1,7,Never,227
11398086,8,2,5,Never,224
11135115,7,1,6,Never,229
3655008,6,0,5,Never,232
7306482,6,0,5,Never,233
3485633,8,2,5,Never,230
12058300,8,2,7,Never,226
7785690,7,1,7,Always,215
11848049,8,2,5,Never,248
5975352,8,2,5,Never,236
3881350,7,1,5,Never,231
13697102,8,2,7,Never,234
936502,8,2,5,Never,229
9575391,8,2,6,Never,229
7174098,7,1,6,Never,226
2898098,8,2,5,Never,233
5138507,6,0,5,Never,229
7747950,7,1,7,Never,224
6897908,8,2,6,Always,237
7125623,8,2,6,Never,258
6944345,6,0,6,Always,207
6874649,6,0,7,Never,219
7198280,8,2,6,Never,246
13013165,8,2,7,Never,239
8117780,7,1,6,Never,232
7380860,7,1,6,Never,250
2692538,8,2,5,Never,239
9340084,6,0,5,Never,220
6719554,6,0,6,Never,227
5761719,8,2,5,Never,266
6720072,7,1,6,Never,233
6765963,8,2,6,Never,233
12111597,6,0,7,Never,243
7051565,7,1,6,Never,239
9426760,7,1,5,Never,234
7271735,6,0,6,Never,229
8160066,8,2,7,Never,243
7987161,7,1,7,Never,244
6552005,6,0,6,Never,221
10949089,8,2,5,Never,240
11697172,7,1,6,Never,211
8020612,7,1,7,Never,237
6616119,7,1,5,Never,250
6685544,7,1,6,Never,245
7777027,6,0,7,Never,215
12129801,7,1,6,Never,225
9098070,8,2,7,Never,241
7377088,7,1,5,Never,234
7207700,7,1,5,Never,224
6730116,8,2,6,Never,239
6864678,7,1,6,Never,259
7246145,7,1,6,Never,235
934569,6,0,5,Never,213
9685049,8,2,7,Never,240
8234051,6,0,7,Never,213
8179050,6,0,7,Never,211
7893361,8,2,7,Never,235
8111707,7,1,7,Never,249
8214638,6,0,7,Never,234
8141045,6,0,7,Never,222
9091432,6,0,7,Never,228
4079019,6,0,5,Never,227
1151797,7,1,5,Never,230
5461588,7,1,5,Never,228
6633374,7,1,6,Always,226
6464041,8,2,5,Never,232
7173997,8,2,6,Never,232
5135761,8,2,5,Never,236
7770081,7,1,7,Never,217
7069677,6,0,6,Never,226
8273995,8,2,7,Never,237
8044015,6,0,7,Never,247
2805278,8,2,5,Never,238
2428482,8,2,5,Never,224
3693392,7,1,5,Never,214
7065817,7,1,6,Sometimes,227
3659186,7,1,5,Never,214
7748175,6,0,7,Never,227
6648258,7,1,6,Never,245
10652485,7,1,7,Never,247
7866216,6,0,7,Never,221
6341047,6,0,5,Never,225
13381636,8,2,7,Never,252
7985150,7,1,7,Never,232
6719554,7,1,6,Never,246
4768515,7,1,5,Never,233
3796523,6,0,5,Never,231
8233268,7,1,7,Never,229
452394,8,2,5,Never,238
4723260,7,1,5,Never,223
8335249,6,0,7,Never,230
194751,7,1,5,Never,239
6380921,8,2,5,Never,232
8079692,8,2,7,Never,228
1071971,6,0,5,Never,226
501999,7,1,5,Always,224
7863780,7,1,7,Never,243
8188912,6,0,7,Never,219
6733875,8,2,6,Never,236
6933637,8,2,6,Never,246
10375813,8,2,7,Never,248
379158,6,0,5,Never,225
7949065,7,1,7,Never,234
6311504,6,0,5,Never,224
1457098,8,2,5,Never,242
7741448,7,1,7,Never,234
10741984,7,1,5,Always,246
6825427,7,1,6,Never,235
7993129,6,0,7,Never,218
4118685,8,2,5,Never,231
7272685,7,1,6,Never,228
9015477,6,0,5,Never,242
8252149,7,1,7,Never,219
3476472,6,0,5,Never,223
8170223,6,0,7,Never,223
7059841,7,1,6,Never,239
8657440,7,1,6,Never,240
8800219,8,2,5,Never,229
6480799,6,0,5,Never,238
7066406,7,1,6,Never,227
7904673,8,2,7,Never,244
11360917,7,1,5,Never,227
7893663,6,0,7,Never,227
4510887,6,0,5,Never,204
7443439,8,2,6,Never,242
3152650,6,0,5,Never,235
7007701,7,1,6,Never,241
8234620,6,0,7,Never,225
8277990,8,2,7,Never,252
10391509,7,1,5,Never,225
1890182,8,2,5,Never,247
8311072,8,2,7,Never,226
6691676,7,1,6,Never,249
11554266,7,1,7,Never,235
502111,8,2,5,Sometimes,234
7988044,6,0,7,Never,223
2703513,7,1,5,Never,223
8532303,6,0,7,Never,223
6559751,7,1,6,Never,238
2969092,8,2,7,Never,235
7719167,7,1,7,Never,247
6534600,6,0,6,Never,234
5655714,6,0,5,Never,235
4434714,6,0,5,Never,232
1067966,6,0,5,Never,234
7737963,6,0,7,Never,225
11262044,8,2,5,Never,238
5941806,6,0,5,Never,225
674370,7,1,5,Never,230
6645224,8,2,6,Never,245
8246238,6,0,7,Never,229
8336784,7,1,7,Never,243
8162581,7,1,7,Never,226
6692877,8,2,5,Never,225
6998461,6,0,6,Never,222
6893295,7,1,6,Never,241
260452,8,2,5,Never,237
8084033,6,0,7,Never,211
8003173,6,0,7,Never,215
6734189,8,2,5,Always,233
8439052,8,2,5,Never,249
4519302,6,0,5,Never,215
8174792,8,2,7,Never,254
2482142,8,2,5,Never,242
717746,7,1,5,Never,248
6829538,8,2,6,Never,234
2862689,7,1,5,Never,230
383678,6,0,5,Never,228
10666230,6,0,5,Never,225
8203059,7,1,7,Never,246
8135630,8,2,7,Never,239
9429263,8,2,6,Never,245
3657493,8,2,5,Never,230
6693520,8,2,6,Never,231
7444575,6,0,7,Never,229
7329717,8,2,6,Never,220
825336,8,2,5,Never,222
5465265,7,1,5,Never,225
7947860,6,0,7,Always,213
3462323,8,2,5,Never,231
1370413,6,0,5,Never,221
12976776,6,0,6,Never,230
9663053,6,0,5,Never,231
7306725,8,2,6,Sometimes,224
7777094,8,2,7,Never,236
7728530,8,2,7,Never,236
6997643,8,2,6,Never,238
4664191,6,0,5,Always,215
7786948,7,1,7,Never,233
6534600,8,2,6,Never,246
8321108,7,1,7,Never,227
3724662,6,0,5,Never,227
6954421,8,2,6,Never,234
5191319,6,0,5,Never,218
6725155,7,1,6,Never,229
7272685,7,1,6,Never,217
2640988,6,0,5,Never,218
8308306,7,1,7,Never,238
7306679,6,0,5,Never,228
3914437,8,2,5,Never,264
11948086,7,1,5,Never,237
8212368,8,2,7,Never,236
8078467,8,2,7,Never,236
6918751,8,2,6,Never,242
8462569,8,2,7,Never,245
8321671,6,0,7,Never,224
3202178,7,1,5,Never,234
8200912,7,1,5,Never,220
8151105,6,0,7,Never,225
4144406,6,0,5,Never,223
6867332,6,0,6,Always,218
3910490,7,1,5,Never,241
5390354,6,0,5,Never,231
6143377,6,0,5,Never,239
7960565,8,2,7,Never,238
2735202,7,1,5,Never,230
7495587,7,1,7,Never,228
6883974,7,1,6,Never,231
6556728,6,0,6,Never,230
6814867,8,2,5,Never,246
7444575,6,0,7,Never,224
10735038,6,0,5,Never,223
7172648,7,1,6,Never,237
2703513,8,2,5,Never,232
7718322,8,2,7,Never,256
7216629,8,2,6,Never,250
6693997,6,0,6,Never,217
6529399,8,2,6,Never,246
9054162,7,1,5,Never,229
10439730,6,0,5,Never,257
7001681,8,2,6,Never,240
7152299,8,2,6,Never,227
6996256,8,2,6,Never,234
8616027,6,0,6,Never,227
2497158,7,1,5,Never,230
6023800,8,2,5,Never,241
8103690,8,2,7,Never,229
8044015,7,1,7,Never,239
5656206,6,0,5,Never,218
11848049,7,1,7,Never,247
6594425,8,2,6,Never,242
1626337,8,2,5,Always,227
7139500,8,2,6,Never,235
4697294,8,2,5,Never,235
7734409,6,0,7,Never,238
7822766,7,1,7,Never,221
5575990,6,0,5,Never,241
6761070,8,2,6,Never,239
6912443,6,0,6,Never,223
2842513,8,2,5,Never,235
8116679,7,1,7,Never,234
5939879,7,1,5,Never,238
10753745,8,2,6,Never,240
936537,8,2,5,Never,236
6554458,8,2,6,Never,232
8140278,6,0,5,Never,217
6910653,8,2,6,Never,233
11711418,6,0,5,Never,233
1731521,8,2,5,Never,236
9101691,8,2,7,Never,226
6838065,8,2,5,Never,248
7173172,6,0,6,Never,205
6893295,7,1,6,Never,230
9289860,7,1,7,Never,230
7121989,6,0,6,Never,222
2758938,8,2,5,Never,240
6547664,8,2,6,Never,223
8111588,8,2,7,Never,242
8127611,8,2,6,Never,243
6573851,6,0,6,Never,221
3918246,7,1,5,Always,222
9707263,6,0,7,Never,230
13698869,8,2,7,Never,231
9225137,7,1,5,Never,249
8706271,8,2,5,Never,264
5737575,7,1,5,Never,235
7127693,7,1,6,Never,231
3935566,7,1,5,Never,242
193216,8,2,5,Never,234
7963947,7,1,7,Never,233
6741770,6,0,5,Never,226
7209495,7,1,6,Never,226
3368092,7,1,5,Never,259
12226661,8,2,6,Never,248
8139075,8,2,7,Never,234
8362440,8,2,7,Never,233
8159211,8,2,7,Never,242
3481565,7,1,5,Never,233
8945640,6,0,7,Never,221
3914437,7,1,5,Never,231
7981708,7,1,7,Never,241
7052758,7,1,6,Never,248
7719108,7,1,7,Never,235
7854668,6,0,7,Never,225
2213753,6,0,5,Never,237
13680242,6,0,7,Never,243
7102275,6,0,6,Always,212
7956347,8,2,7,Never,257
7272685,8,2,6,Never,242
6565808,8,2,6,Always,216
6556590,8,2,6,Never,252
7877250,8,2,7,Never,237
6636128,8,2,6,Never,238
11017457,6,0,6,Never,242
6929648,7,1,6,Never,227
7139497,6,0,6,Never,222
5297443,8,2,5,Never,247
6997724,8,2,6,Never,249
7303475,6,0,6,Never,223
7290268,6,0,5,Never,225
5656206,6,0,5,Never,225
934879,6,0,6,Always,212
8701482,7,1,7,Never,235
7171986,8,2,6,Never,226
6519784,8,2,6,Never,247
8188912,8,2,7,Never,252
3168697,8,2,5,Never,232
8968012,6,0,7,Never,220
8162581,6,0,7,Never,223
7916132,8,2,7,Never,234
8379734,6,0,7,Never,243
7626886,8,2,7,Never,253
7834802,7,1,7,Never,243
8169160,6,0,7,Never,224
8286345,8,2,7,Never,236
8149631,7,1,7,Never,221
6563856,8,2,6,Never,235
2805820,6,0,7,Never,227
5998662,6,0,5,Never,233
832820,6,0,5,Never,219
8094195,8,2,6,Never,239
7754027,8,2,7,Never,239
9691200,7,1,5,Never,256
7198965,6,0,6,Never,237
6808247,7,1,6,Never,250
8003173,8,2,7,Never,231
7889941,8,2,6,Never,235
9046135,8,2,7,Never,248
11415762,7,1,5,Never,233
8178666,7,1,7,Never,234
3656721,6,0,5,Sometimes,213
6634400,8,2,6,Never,238
2978776,6,0,5,Never,220
7164475,8,2,6,Sometimes,230
6529399,6,0,6,Never,214
8207313,8,2,7,Never,239
11923474,6,0,5,Never,243
1621637,6,0,5,Never,220
7747594,7,1,7,Never,244
3237192,6,0,5,Never,225
5290562,6,0,5,Never,206
7182562,8,2,6,Never,230
7289251,7,1,5,Never,232
8243107,8,2,5,Never,233
11808047,7,1,5,Never,244
8032270,6,0,6,Never,229
6537278,6,0,6,Never,255
7772270,7,1,7,Never,230
3796523,7,1,5,Never,236
11197536,6,0,7,Never,222
6660959,7,1,6,Never,247
1574167,8,2,5,Always,228
9665072,7,1,5,Never,223
8331979,8,2,7,Never,233
5761719,8,2,5,Never,223
2309769,6,0,5,Never,225
4520912,7,1,5,Never,242
11015896,7,1,7,Never,237
7087160,6,0,6,Always,220
8014167,8,2,7,Never,264
7267258,8,2,6,Never,234
10046364,6,0,7,Never,225
7083653,7,1,6,Never,224
8947740,8,2,7,Never,228
6646875,7,1,6,Never,228
6541046,7,1,6,Never,245
6777503,7,1,6,Never,254
7246846,6,0,6,Never,233
12111597,6,0,6,Never,224
7836929,8,2,7,Never,247
13562592,8,2,7,Never,254
2288699,6,0,5,Never,224
5556074,7,1,5,Never,227
2482142,6,0,5,Never,234
6527434,8,2,6,Never,234
7776489,6,0,7,Never,227
6660258,6,0,6,Always,212
6926231,7,1,6,Never,223
6578179,7,1,6,Never,242
7961936,8,2,7,Never,234
7195192,7,1,6,Never,242
6701086,7,1,6,Never,258
12066885,7,1,7,Never,231
2381958,6,0,5,Never,221
8220158,7,1,7,Never,245
6848664,8,2,6,Never,238
6853579,6,0,6,Never,236
6575404,7,1,5,Never,246
2326035,8,2,5,Never,226
8237611,7,1,7,Never,241
6922724,8,2,6,Never,246
8731187,6,0,5,Never,228
7614543,7,1,7,Never,227
7949065,6,0,7,Never,230
5172608,8,2,5,Never,218
8223777,7,1,7,Never,239
8723311,6,0,7,Never,236
8560897,7,1,6,Never,238
3976645,8,2,5,Never,242
12910082,6,0,6,Never,225
6956289,8,2,6,Sometimes,227
383554,8,2,5,Sometimes,236
7996993,8,2,7,Never,246
820946,7,1,5,Never,250
8052824,7,1,7,Always,232
8126593,8,2,7,Never,238
8154023,7,1,7,Never,238
7953410,8,2,7,Never,237
6920209,8,2,6,Never,246
7247877,8,2,6,Never,234
7100280,8,2,6,Never,234
2805278,8,2,6,Never,246
7072716,8,2,6,Never,235
3400816,7,1,5,Never,258
8049467,6,0,7,Never,222
8117780,6,0,7,Sometimes,212
1023233,7,1,5,Never,238
4520912,7,1,5,Never,232
7760582,6,0,7,Never,214
9177876,7,1,7,Never,242
6546951,6,0,6,Always,215
8817766,8,2,7,Never,236
7083653,6,0,6,Never,233
3219623,7,1,6,Never,227
3976645,6,0,5,Never,232
7981856,6,0,7,Never,237
7181868,8,2,6,Never,234
6723500,7,1,6,Never,235
8309183,8,2,7,Never,222
5380138,6,0,6,Never,224
7023154,8,2,5,Never,235
1151797,6,0,5,Never,221
6693997,6,0,6,Never,237
8105480,7,1,6,Never,231
7877684,8,2,7,Never,249
6734766,7,1,6,Sometimes,207
2667657,7,1,5,Never,231
10010882,6,0,5,Never,244
3400816,8,2,5,Never,226
7959036,6,0,7,Never,212
671908,7,1,5,Never,254
8246904,8,2,7,Never,254
8640580,7,1,7,Never,224
4722779,6,0,5,Never,229
7265565,6,0,6,Never,225
7411413,6,0,6,Never,237
6704689,7,1,7,Never,237
7112661,8,2,6,Never,254
6557252,6,0,6,Never,230
8705690,7,1,6,Never,229
6599354,6,0,6,Never,224
6951139,7,1,5,Never,226
12066885,6,0,7,Never,222
9446559,7,1,5,Never,244
8321671,8,2,7,Never,231
7877528,6,0,7,Never,226
7007701,6,0,6,Never,231
6569900,8,2,7,Never,243
3485986,6,0,5,Never,229
8482799,8,2,6,Never,249
379158,8,2,5,Never,227
4499557,6,0,5,Never,215
8498970,8,2,7,Never,236
2233274,7,1,5,Never,212
1074741,8,2,5,Never,226
3848957,8,2,6,Never,227
6486738,6,0,5,Never,222
8342385,7,1,7,Never,231
8814651,7,1,7,Never,231
8014167,6,0,7,Never,246
3935566,7,1,5,Never,246
7782683,7,1,5,Always,231
7007531,8,2,6,Never,229
7036841,6,0,7,Always,209
7650027,8,2,7,Never,245
7883331,6,0,7,Never,245
8285454,6,0,7,Never,228
7172451,8,2,6,Never,228
6914446,8,2,6,Sometimes,214
2977281,8,2,5,Never,271
9244662,8,2,7,Never,260
6777562,8,2,6,Never,231
3740684,8,2,5,Sometimes,210
7086555,6,0,6,Never,225
6730116,6,0,5,Never,236
7099347,6,0,6,Never,227
11415762,6,0,5,Never,232
7838174,8,2,7,Never,270
9866132,7,1,6,Never,232
7967608,6,0,7,Never,227
6925847,6,0,6,Never,215
7110014,6,0,6,Never,223
9418776,6,0,7,Never,229
8032947,7,1,7,Never,246
7792840,7,1,5,Never,232
8174792,8,2,7,Never,242
10439609,6,0,5,Never,209
6088376,8,2,5,Never,238
2233274,8,2,5,Never,233
12564249,8,2,6,Never,236
3141179,8,2,5,Never,239
6945643,7,1,6,Never,256
8238154,7,1,6,Never,232
3096890,7,1,6,Never,227
6809030,8,2,6,Never,234
6719554,6,0,6,Never,240
7917562,8,2,7,Never,248
3808920,6,0,5,Sometimes,213
11552492,8,2,6,Never,238
6734189,7,1,6,Never,241
7964455,8,2,7,Never,243
3776441,7,1,5,Never,230
8009759,8,2,7,Never,238
6946100,7,1,7,Never,223
2342936,6,0,5,Never,218
3698432,6,0,5,Never,227
6683304,6,0,6,Never,239
6814867,6,0,5,Never,226
